1,1,0.280231,0.71977,0.823602,0.176398,0.94672,0.05328,0.292266,0.707735,0.4658,0.5342,0.88571,0.114291
1,1,0.992135,0.007865,0.965348,0.034652,0.991221,0.008779,0.731721,0.268279,0.785663,0.214337,0.93586,0.06414
1,1,0.998977,0.001023,0.998361,0.001639,0.989659,0.010342,0.989392,0.010608,0.903385,0.096615,0.955313,0.044687
1,1,0.465037,0.534963,0.281873,0.718127,0.968877,0.031123,0.515645,0.484355,0.717275,0.282725,0.999826,0.000174
1,1,0.611386,0.388614,0.000028,0.999973,0.010719,0.989281,0.053282,0.946718,0.357061,0.642939,0.450291,0.549709
1,1,0.333411,0.666589,0.1099,0.8901,0.485757,0.514243,0.32034,0.67966,0.671971,0.328029,0.948847,0.051153
1,1,0.590241,0.409759,1,0,0.994543,0.005457,0.999998,0.000003,0.000001,0.999999,0.139739,0.860261
1,1,0.148868,0.851132,0.361158,0.638842,0.40234,0.59766,0.537235,0.462765,0.710013,0.289987,0.817861,0.182139
1,1,0.859645,0.140356,0.278102,0.721898,0.995642,0.004358,0.441386,0.558614,0.118378,0.881622,0.89973,0.10027
1,1,0.999701,0.000299,0.992476,0.007524,0.992366,0.007634,0.812173,0.187827,0.500696,0.499304,0.915705,0.084295
1,1,0.03246,0.96754,0.270509,0.729491,0.04112,0.958881,0.035046,0.964954,0.001994,0.998006,0.003554,0.996446
1,1,0.688989,0.311012,0.873346,0.126654,0.237475,0.762525,0.883562,0.116438,0.452177,0.547823,0.949893,0.050107
1,1,0.986515,0.013485,0.976814,0.023186,0.933994,0.066006,0.879034,0.120966,0.675444,0.324556,0.934702,0.065298
1,1,0.846402,0.153598,0.86683,0.13317,0.966704,0.033296,0.092703,0.907297,0.332388,0.667612,0.983581,0.016419
2,1,0.319145,0.680855,0.162989,0.837011,0.083179,0.916821,0.020075,0.979925,0.24933,0.75067,0.07861,0.92139
1,1,0.799244,0.200756,0.428208,0.571792,0.151039,0.848961,0.149968,0.850032,0.161113,0.838888,0.122609,0.877392
1,1,0.194749,0.805251,0.012426,0.987574,0.22858,0.77142,0.113467,0.886533,0.105716,0.894284,0.101953,0.898047
1,1,0.132807,0.867193,0.317054,0.682946,0.225453,0.774547,0.433419,0.566581,0.407179,0.592821,0.137578,0.862422
1,1,0.020143,0.979857,0.223234,0.776766,0.333517,0.666483,0.033883,0.966117,0.463482,0.536518,0.075141,0.924859
1,1,0.691283,0.308717,0.939623,0.060377,0.324995,0.675005,0.606136,0.393864,0.598787,0.401213,0.708607,0.291393
2,1,0.575822,0.424178,0.542267,0.457733,0.85371,0.14629,0.143277,0.856723,0.269794,0.730206,0.213473,0.786527
1,1,0.019848,0.980152,0.003061,0.996939,0.003033,0.996967,0.007511,0.99249,0,1,0.000011,0.999989
1,1,0.065733,0.934267,0.05057,0.94943,0.063555,0.936445,0.367082,0.632918,0.138506,0.861494,0.567748,0.432252
1,1,0.002131,0.997869,0.023063,0.976937,0.003371,0.996629,0.036856,0.963144,0.012888,0.987112,0.009396,0.990605
1,1,0.513623,0.486377,0.743495,0.256505,0.056118,0.943882,0.311807,0.688193,0.557456,0.442544,0.040915,0.959085
